name,club,league,country,age,position,secondary_position,market_value_million,overall_rating,potential,preferred_foot,height_cm,weight_kg,pace,shooting,passing,dribbling,defending,physical,play_style,work_rate,weak_foot,skill_moves
T. Courtois,Real Madrid,La Liga,Spain,32,GK,,35.5,83,85,Left,191,91,37,22,67,34,28,80,Sweeper Keeper,High/High,3,1
D. Carvajal,Real Madrid,La Liga,Spain,32,RB,RWB,35.0,81,86,Right,170,71,94,53,82,81,81,75,Press Resistant,Medium/Medium,3,1
E. Militao,Real Madrid,La Liga,Spain,26,CB,RB,45.8,84,88,Right,190,90,67,49,63,65,87,90,Ball Playing Defender,High/Medium,5,1
D. Alaba,Real Madrid,La Liga,Spain,32,CB,,40.5,85,87,Right,186,91,72,49,69,58,87,90,Ball Winner,Low/Medium,4,4
A. Rudiger,Real Madrid,La Liga,Spain,31,CB,,55.0,89,94,Right,196,100,66,46,74,51,94,91,Ball Playing Defender,High/Medium,3,5
F. Mendy,Real Madrid,La Liga,Spain,29,LB,LWB,50.7,88,91,Right,178,78,84,58,78,70,77,72,Traditional Winger,High/Medium,4,5
A. Tchouameni,Real Madrid,La Liga,Spain,24,CDM,,45.2,81,88,Right,190,85,74,65,86,79,65,83,Ball Winner,High/High,2,3
E. Camavinga,Real Madrid,La Liga,Spain,21,CM,CAM,68.3,90,95,Right,177,81,65,60,95,76,73,76,Press Resistant,High/High,5,3
F. Valverde,Real Madrid,La Liga,Spain,26,CM,CAM,59.8,89,94,Left,179,76,80,60,92,82,55,79,Box to Box,Medium/Medium,5,1
J. Bellingham,Real Madrid,La Liga,Spain,21,CAM,,63.8,87,94,Right,179,81,87,85,77,92,38,57,Traditional Winger,High/High,4,1
Vinicius Jr,Real Madrid,La Liga,Spain,24,LW,CAM,62.7,88,95,Right,183,82,83,74,86,90,55,67,Creative Playmaker,High/High,4,2
Rodrygo,Real Madrid,La Liga,Spain,23,RW,ST,44.9,81,87,Right,176,80,84,73,86,87,40,58,Creative Playmaker,High/Medium,2,2
K. Mbappe,Real Madrid,La Liga,Spain,25,ST,LW,62.5,89,95,Left,178,73,90,91,79,90,48,89,Target Man,Medium/Medium,2,3
L. Modric,Real Madrid,La Liga,Spain,38,CM,CDM,33.0,82,84,Right,188,91,70,80,85,76,68,80,Ball Winner,High/Low,2,1
Brahim,Real Madrid,La Liga,Spain,25,CAM,,55.5,88,91,Left,185,85,96,83,87,93,35,67,Creative Playmaker,Medium/Medium,3,3
A. Guler,Real Madrid,La Liga,Spain,19,CAM,,65.7,85,95,Right,178,77,84,75,81,90,45,62,Traditional Winger,Low/Medium,3,5
Endrick,Real Madrid,La Liga,Spain,18,ST,,66.9,85,95,Right,176,71,92,87,71,83,50,90,Target Man,Low/Medium,5,5
A. Lunin,Real Madrid,La Liga,Spain,25,GK,,40.0,80,86,Right,198,97,44,18,79,50,27,63,Sweeper Keeper,High/High,3,1
F. Garcia,Real Madrid,La Liga,Spain,24,LB,LWB,43.7,81,87,Right,171,66,90,50,72,70,75,66,Traditional Winger,Medium/Medium,3,3
L. Vazquez,Real Madrid,La Liga,Spain,33,RB,RWB,29.5,80,83,Right,172,67,90,70,75,81,82,80,Traditional Winger,High/Low,3,1
M. ter Stegen,Barcelona,La Liga,Spain,32,GK,,38.0,84,86,Left,196,97,50,18,64,45,20,78,Sweeper Keeper,Low/Medium,2,1
J. Kounde,Barcelona,La Liga,Spain,25,RB,,62.0,90,94,Right,173,73,95,70,84,80,84,66,Traditional Winger,High/Medium,2,4
R. Araujo,Barcelona,La Liga,Spain,25,CB,CDM,48.0,82,90,Right,189,85,71,33,56,62,87,84,Ball Playing Defender,Medium/High,2,5
A. Christensen,Barcelona,La Liga,Spain,28,CB,,51.9,88,91,Right,190,92,78,37,69,67,89,85,Ball Winner,High/High,4,5
P. Cubarsi,Barcelona,La Liga,Spain,17,CB,,72.1,89,95,Left,184,84,76,50,59,68,93,93,Ball Winner,Low/Medium,4,3
A. Balde,Barcelona,La Liga,Spain,20,LB,LWB,57.5,81,93,Right,170,66,94,57,74,85,70,68,Traditional Winger,Low/Medium,2,1
F. de Jong,Barcelona,La Liga,Spain,27,CM,CDM,45.6,85,88,Left,187,82,82,79,90,87,59,72,Box to Box,Low/Medium,3,2
Pedri,Barcelona,La Liga,Spain,21,CM,CAM,58.3,83,93,Left,179,75,83,69,83,87,56,86,Deep Playmaker,Low/Medium,3,2
Gavi,Barcelona,La Liga,Spain,20,CM,CAM,61.0,83,94,Right,172,68,85,60,88,76,60,72,Ball Winner,Medium/High,5,2
I. Gundogan,Barcelona,La Liga,Spain,33,CM,CAM,43.0,86,88,Right,175,79,72,80,86,82,68,80,Press Resistant,High/High,4,5
L. Yamal,Barcelona,La Liga,Spain,17,RW,RM,67.1,84,95,Left,178,77,94,79,81,86,58,50,Traditional Winger,High/Low,4,2
Raphinha,Barcelona,La Liga,Spain,27,LW,RM,43.6,83,88,Right,173,71,92,86,85,88,39,67,Inverted Winger,Medium/Medium,4,2
R. Lewandowski,Barcelona,La Liga,Spain,35,ST,CF,25.0,80,80,Right,180,82,93,84,76,84,45,88,Target Man,Medium/High,5,3
J. Felix,Barcelona,La Liga,Spain,24,LW,ST,47.7,82,89,Right,167,70,88,74,81,88,53,53,Traditional Winger,High/Medium,5,4
J. Cancelo,Barcelona,La Liga,Spain,30,RB,CB,51.5,90,91,Right,181,76,81,64,83,85,77,75,Traditional Winger,High/Low,4,1
I. Pena,Barcelona,La Liga,Spain,25,GK,,45.0,82,88,Right,188,87,47,28,60,41,15,79,Sweeper Keeper,High/High,2,1
I. Martinez,Barcelona,La Liga,Spain,33,CB,CDM,48.5,87,91,Right,195,90,65,34,55,55,88,91,Ball Playing Defender,High/High,2,3
F. Torres,Barcelona,La Liga,Spain,24,LW,LM,65.7,91,95,Right,167,63,87,86,83,94,35,53,Traditional Winger,High/Low,5,2
Fermin,Barcelona,La Liga,Spain,21,CM,CDM,51.3,82,89,Right,182,85,84,82,83,76,65,70,Box to Box,Low/Medium,3,3
V. Roque,Barcelona,La Liga,Spain,19,ST,RW,71.7,91,95,Right,178,78,92,93,78,77,50,86,Target Man,High/Low,4,3
J. Oblak,Atletico Madrid,La Liga,Spain,31,GK,,44.5,86,89,Right,196,95,46,29,80,44,15,72,Sweeper Keeper,Medium/High,5,1
N. Molina,Atletico Madrid,La Liga,Spain,26,RB,RWB,48.3,85,89,Right,177,77,88,57,78,77,78,72,Traditional Winger,High/Medium,3,2
J. Gimenez,Atletico Madrid,La Liga,Spain,29,CB,RB,37.7,84,85,Right,188,87,69,33,70,55,85,82,Ball Winner,High/Low,4,3
